entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,107036157,-39790787,747,143288,1736813022,1736813022,[TikTok](https://www.tiktok.com/@dailymail)
NBC News,Neutral,5,42509363,-10162810,682,62330,645137456,645137456,[TikTok](https://tiktok.com/@nbcnews)
CBS News,Neutral,-1,41615333,-22894127,656,63438,749513084,749513084,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Dylan Page,Neutral,2,41581673,-13203104,57,729503,376224335,376224335,[TikTok](https://www.tiktok.com/@dylan.page)
CNN,Neutral,4,38327434,-7630773,681,56281,591500280,591500280,[TikTok](https://tiktok.com/@cnn)
LatinUS,Neutral,4,38267106,-3867353,646,59237,643959417,643959417,[TikTok](https://www.tiktok.com/@latinus_us)
Courier,Left-Leaning,5,38092103,13023227,380,100242,305698358,305698358,[TikTok](https://tiktok.com/@couriernewsroom)
BBC News,Neutral,-4,37442883,-22816803,629,59528,579058485,579058485,[TikTok](https://www.tiktok.com/@bbcnews)
Aaron Parnas,Left-Leaning,2,35475909,872975,328,108158,262647985,262647985,[TikTok](https://tiktok.com/@aaronparnas1)
ABC News,Neutral,-5,35267737,-21642170,440,80154,601537716,601537716,[TikTok](https://www.tiktok.com/@abcnews)
NowThis,Left-Leaning,11,31253750,16037208,223,140151,280710177,280710177,[TikTok](https://www.tiktok.com/@nowthisimpact)
NY Post,Right-Leaning,2,26759741,3837090,564,47446,477193546,477193546,[TikTok](https://www.tiktok.com/@nypost)
Fox News,Right-Leaning,-10,26400860,-35480979,1278,20658,589300894,589300894,[TikTok](https://tiktok.com/@foxnews)
Al Jazeera English,Neutral,1,22694673,-134900,397,57165,301277238,301277238,[TikTok](https://tiktok.com/@aljazeeraenglish)
ABC7 LA,Neutral,1,22363693,2319934,329,67975,354190266,354190266,[TikTok](https://www.tiktok.com/@abc7la)
Brut America,Neutral,5,20745180,5435866,344,60306,266909007,266909007,[TikTok](https://tiktok.com/@brutamerica)
Carlos Eduardo Espina,Left-Leaning,2,19080337,462308,437,43662,320793700,320793700,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
The Daily Show,Left-Leaning,7,18655007,4990141,120,155458,130769668,130769668,[TikTok](https://tiktok.com/@thedailyshow)
The Democrats,Left-Leaning,1,17171773,50529,95,180756,105181540,105181540,[TikTok](https://tiktok.com/@democrats)
MS NOW,Left-Leaning,-2,16930242,-2238494,302,56060,219836001,219836001,[TikTok](https://www.tiktok.com/@msnow)
CBS Mornings,Neutral,-4,16810105,-2905286,510,32961,303125042,303125042,[TikTok](https://tiktok.com/@cbsmornings)
Reuters,Neutral,15,15126428,7750784,420,36015,275742583,275742583,[TikTok](https://www.tiktok.com/@reuters)
ABC7 Chicago,Neutral,0,12324401,-1762271,739,16677,261549602,261549602,[TikTok](https://www.tiktok.com/@abc7chicago)
Team Trump,Right-Leaning,-11,12200173,-11687740,38,321057,169502551,169502551,[TikTok](https://www.tiktok.com/@teamtrump)
The Independent,Neutral,15,11405917,4501549,367,31079,217605448,217605448,[TikTok](https://www.tiktok.com/@independent)
Gavin Newsom,Left-Leaning,13,10967358,4042228,53,206931,64654495,64654495,"[TikTok](https://www.tiktok.com/@gavinnewsom), [TikTok](https://www.tiktok.com/@cagovernor)"
Metro,Neutral,-19,10111388,-36830603,137,73806,176452044,176452044,[TikTok](https://tiktok.com/@metrouk)
ABC World News Tonight,Neutral,8,10083702,2281189,162,62245,149125039,149125039,[TikTok](https://www.tiktok.com/@abcworldnews)
The Late Show with Stephen Colbert,Left-Leaning,1,9772345,151131,102,95807,88598619,88598619,[TikTok](https://www.tiktok.com/@colbertlateshow)
LiveNOW from FOX,Right-Leaning,-1,9591168,-727496,253,37910,220953600,220953600,[TikTok](https://tiktok.com/@livenowfox)
The White House,Right-Leaning,-3,9021123,-2667273,83,108688,90189008,90189008,[TikTok](https://www.tiktok.com/@whitehouse)
Pink News,Left-Leaning,1,8943685,243193,309,28944,126005264,126005264,[TikTok](https://tiktok.com/@pinknews)
The New York Times,Neutral,8,8871196,2814257,229,38739,157832623,157832623,[TikTok](https://tiktok.com/@nytimes)
Spencer Spencewuah,Left-Leaning,-8,8854187,-4169246,64,138347,39860821,39860821,[TikTok](https://www.tiktok.com/@spencewuah)
The Recount,Left-Leaning,41,7688113,4793736,105,73220,57318812,57318812,[TikTok](https://tiktok.com/@therecount)
Univision Noticias,Neutral,-1,7658003,-534599,248,30879,175517183,175517183,[TikTok](https://www.tiktok.com/@uninoticias)
Sky News,Neutral,1,6727059,-395036,742,9066,145037141,145037141,[TikTok](https://tiktok.com/@skynews)
News Nation,Neutral,-6,6529393,-2431408,356,18341,113319254,113319254,[TikTok](https://www.tiktok.com/@newsnationnow)
AJ+,Left-Leaning,-12,5874715,-6902859,112,52453,56160292,56160292,[TikTok](https://www.tiktok.com/@ajplus)
NBC Bay Area,Neutral,17,5771312,2011314,277,20835,78760948,78760948,[TikTok](https://www.tiktok.com/@nbcbayarea)
CBS Evening News,Neutral,13,5515214,1617894,177,31159,67302205,67302205,[TikTok](https://tiktok.com/@cbseveningnews)
Zohran Mamdani,Left-Leaning,72,5433330,4208383,62,87634,34922356,34922356,[TikTok](https://www.tiktok.com/@zohran_k_mamdani)
Dean Withers,Left-Leaning,-12,5154658,-3848519,14,368190,34545854,34545854,[TikTok](https://www.tiktok.com/@itsdeaann)
60 Minutes,Neutral,46,5052577,2987869,167,30255,98909207,98909207,[TikTok](https://tiktok.com/@60minutes)
FOX 9 | KMSP Minneapolis,Neutral,1,5016827,-23119,69,72708,48841140,48841140,[TikTok](https://www.tiktok.com/@fox9mn)
Harry Sisson,Left-Leaning,22,4932076,1666456,92,53610,33587463,33587463,[TikTok](https://tiktok.com/@harryjsisson)
Alex Pearlman,Left-Leaning,4,4804396,559447,26,184784,19799700,19799700,[TikTok](https://tiktok.com/@pearlmania500)
NBC New York,Neutral,68,4796521,3576062,107,44827,63286309,63286309,[TikTok](https://www.tiktok.com/@nbcnewyork)
MeidasTouch,Left-Leaning,3,4715158,569032,183,25766,32213054,32213054,[TikTok](https://tiktok.com/@meidastouch)
PBS News Hour,Neutral,6,4604490,806884,307,14998,44598773,44598773,[TikTok](https://tiktok.com/@pbsnews)
Face the Nation,Neutral,212,4559231,4298858,82,55600,44637014,44637014,[TikTok](https://tiktok.com/@facethenation)
Newsweek,Neutral,9,4354908,882558,313,13913,79534634,79534634,[TikTok](https://tiktok.com/@newsweek)
Johnny Palmadessa,Left-Leaning,299,4057278,3915675,63,64401,16911045,16911045,[TikTok](https://tiktok.com/@johnnypalmadessa)
Candace Owens,Right-Leaning,-20,3886251,-4426039,21,185060,36044304,36044304,[TikTok](https://www.tiktok.com/@candaceoshow)
Chris Valenti,Left-Leaning,-10,3861654,-1332161,146,26450,23183041,23183041,[TikTok](https://www.tiktok.com/@valentivideos.alt)
The News Movement,Neutral,30,3760300,1370760,205,18343,56205795,56205795,[TikTok](https://www.tiktok.com/@thenewsmovement)
Donald Trump,Right-Leaning,,3661653,,1,3661653,55726819,55726819,[TikTok](https://www.tiktok.com/@realdonaldtrump)
NBC 5 Chicago,Neutral,41,3588042,1902173,63,56953,38354100,38354100,[TikTok](https://www.tiktok.com/@nbcchicago)
Brenna Pérez,Left-Leaning,135,3342623,2806574,25,133705,24770227,24770227,[TikTok](https://www.tiktok.com/@perezbrenna)
CTVNews,Neutral,-13,3239701,-1183675,459,7058,77626304,77626304,[TikTok](https://www.tiktok.com/@ctvnews)
TRT World,Neutral,-1,3211454,-289323,400,8029,37538637,37538637,[TikTok](https://www.tiktok.com/@trtworld)
Middle East Eye,Neutral,-14,3158642,-1255760,159,19866,27550764,27550764,[TikTok](https://www.tiktok.com/@middleeasteye)
CSPAN,Neutral,25,3132844,800019,140,22377,63414914,63414914,[TikTok](https://tiktok.com/@cspanofficial)
Cory Booker,Left-Leaning,45,2887994,1525607,150,19253,21003435,21003435,"[TikTok](https://tiktok.com/@corybooker), [TikTok](https://www.tiktok.com/@senbooker)"
ABC News Live,Neutral,22,2854458,514404,327,8729,41819469,41819469,[TikTok](https://tiktok.com/@abcnewslive)
More Perfect Union,Left-Leaning,82,2823371,2023445,38,74299,17347922,17347922,[TikTok](https://tiktok.com/@moreperfectunion)
CBS New York,Neutral,12,2805054,30514,123,22805,49275723,49275723,[TikTok](https://www.tiktok.com/@cbsnewyork)
ABC7NY,Neutral,-15,2789367,-1182670,286,9753,39983492,39983492,[TikTok](https://www.tiktok.com/@abc7ny)
Charlie Kirk,Right-Leaning,-45,2772120,-11127812,47,58981,28559900,28559900,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
Benjamín Zamora,Neutral,-8,2761221,-704559,180,15340,50605200,50605200,[TikTok](https://tiktok.com/@benjaminzamoratv)
The Associated Press (AP),Neutral,-8,2737050,-697145,275,9953,40646338,40646338,[TikTok](https://tiktok.com/@apnews)
Under the Desk News,Left-Leaning,-13,2669216,-866495,56,47665,14046670,14046670,[TikTok](https://tiktok.com/@underthedesknews)
The Older Millennial,Right-Leaning,-31,2628823,-3394030,199,13210,19235992,19235992,[TikTok](https://www.tiktok.com/@theoldermillennial)
JD Vance,Right-Leaning,,2615498,,5,523100,19000000,19000000,[TikTok](https://www.tiktok.com/@jd)
The Free Press,Right-Leaning,261,2612860,2455113,43,60764,33737422,33737422,[TikTok](https://www.tiktok.com/@the.free.press)
Your Favorite Guy,Left-Leaning,-3,2580001,-402678,77,33507,14185798,14185798,[TikTok](https://tiktok.com/@yourfavoriteguy)
CNBC,Neutral,-12,2452376,-886376,650,3773,93898208,93898208,"[TikTok](https://tiktok.com/@cnbc), [TikTok](https://www.tiktok.com/@cnbc)"
Kai Trump,Right-Leaning,254,2227376,2065522,17,131022,26138100,26138100,[TikTok](https://www.tiktok.com/@thekaitrumpgolfer)
USA Today,Neutral,1,2220140,-502066,280,7929,56774093,56774093,[TikTok](https://www.tiktok.com/@usatoday)
Piers Morgan Uncensored,Right-Leaning,-9,2185581,-959716,35,62445,20389900,20389900,[TikTok](https://www.tiktok.com/@piersmorganuncensored)
ItsLuke,Left-Leaning,21,2164083,671596,19,113899,7880521,7880521,[TikTok](https://www.tiktok.com/@itsluke7)
Marcus DiPaola,Neutral,1,2137135,-449903,49,43615,14338001,14338001,[TikTok](https://tiktok.com/@marcus.dipaola)
NBC South Florida,Neutral,-14,2124083,-1077341,165,12873,39602894,39602894,[TikTok](https://www.tiktok.com/@nbcsouthflorida)
NYT Opinion,Neutral,45,2094046,1020486,35,59830,13647838,13647838,[TikTok](https://www.tiktok.com/@nytopinion)
HuffPost,Left-Leaning,32,2046736,831223,62,33012,24962257,24962257,[TikTok](https://www.tiktok.com/@huffpost)
Brian Tyler Cohen,Left-Leaning,40,2037905,895506,114,17876,21983377,21983377,[TikTok](https://tiktok.com/@briantylercohen)
Crooked Media,Left-Leaning,101,2031378,1461639,116,17512,16751813,16751813,"[TikTok](https://tiktok.com/@crookedmedia), [TikTok](https://www.tiktok.com/@realpodsaveamerica)"
Alexandria Ocasio-Cortez,Left-Leaning,179,2009995,1763862,20,100500,11550159,11550159,"[TikTok](https://www.tiktok.com/@aoc), [TikTok](https://tiktok.com/@aocinthehouse)"
Allie O’Brien,Left-Leaning,6,1997599,175905,22,90800,9438649,9438649,[TikTok](https://tiktok.com/@allie_202_)
TizzyEnt,Left-Leaning,-26,1937868,-1482268,54,35886,13566196,13566196,[TikTok](https://tiktok.com/@tizzyent)
Sara Jacobs,Left-Leaning,263,1864115,1723972,20,93206,10634488,10634488,[TikTok](https://www.tiktok.com/@repsarajacobs)
Hello America,Right-Leaning,-17,1844985,-1097900,360,5125,12785598,12785598,[TikTok](https://tiktok.com/@helloamericasup)
Politico Mexico,Neutral,-27,1830685,-1488284,393,4658,35163686,35163686,[TikTok](https://tiktok.com/@politicomx)
Bloomberg Politics,Neutral,51,1828943,991078,120,15241,39140074,39140074,[TikTok](https://tiktok.com/@bloombergpolitics)
The National Desk,Right-Leaning,28,1807937,642327,538,3360,36390304,36390304,[TikTok](https://www.tiktok.com/@tndtok)
The Economist,Neutral,99,1786052,1252084,24,74419,22040065,22040065,[TikTok](https://www.tiktok.com/@theeconomist)
The Real Cornpop,Left-Leaning,-3,1745534,-77258,174,10032,10854111,10854111,[TikTok](https://www.tiktok.com/@therealcornpop)
The Wall Street Journal,Neutral,55,1742486,986885,71,24542,20382892,20382892,[TikTok](https://www.tiktok.com/@wallstreetjournal)
Tell Williams,Left-Leaning,-6,1696968,-262658,36,47138,8252400,8252400,[TikTok](https://www.tiktok.com/@mrwilliamsprek)
Tucker Carlson,Right-Leaning,-26,1694981,-1248314,31,54677,18424176,18424176,[TikTok](https://tiktok.com/@tuckercarlson)
Amanda Tietz,Left-Leaning,63,1670819,1007017,42,39781,11030479,11030479,[TikTok](https://www.tiktok.com/@pottymouthpollyanna)
Elijah - elijaaahhhhe,Left-Leaning,-47,1666170,-2221149,127,13119,7987389,7987389,[TikTok](https://www.tiktok.com/@elijaaahhhhe)
